session_id,date,practice_type,seq,expression,correct_answer
20260528_add,2026-05-28,addition,1,58+32,90
20260528_add,2026-05-28,addition,2,88+10,98
20260528_add,2026-05-28,addition,3,45+50,95
20260528_add,2026-05-28,addition,4,56+26,82
20260528_add,2026-05-28,addition,5,53+42,95
20260528_add,2026-05-28,addition,6,76+6,82
20260528_add,2026-05-28,addition,7,25+23,48
20260528_add,2026-05-28,addition,8,34+43,77
20260528_add,2026-05-28,addition,9,4+81,85
20260528_add,2026-05-28,addition,10,67+30,97
20260528_add,2026-05-28,addition,11,62+32,94
20260528_add,2026-05-28,addition,12,62+14,76
20260528_add,2026-05-28,addition,13,42+11,53
20260528_add,2026-05-28,addition,14,69+4,73
20260528_add,2026-05-28,addition,15,20+46,66
20260528_add,2026-05-28,addition,16,91+7,98
20260528_add,2026-05-28,addition,17,22+71,93
20260528_add,2026-05-28,addition,18,5+66,71
20260528_add,2026-05-28,addition,19,46+28,74
20260528_add,2026-05-28,addition,20,17+60,77
20260528_add,2026-05-28,addition,21,73+18,91
20260528_add,2026-05-28,addition,22,24+9,33
20260528_add,2026-05-28,addition,23,79+12,91
20260528_add,2026-05-28,addition,24,65+6,71
20260528_add,2026-05-28,addition,25,56+12,68
20260528_add,2026-05-28,addition,26,18+75,93
20260528_add,2026-05-28,addition,27,81+1,82
20260528_add,2026-05-28,addition,28,45+32,77
20260528_add,2026-05-28,addition,29,48+35,83
20260528_add,2026-05-28,addition,30,0+33,33
20260528_add,2026-05-28,addition,31,9+6,15
20260528_add,2026-05-28,addition,32,96+2,98
20260528_add,2026-05-28,addition,33,73+4,77
20260528_add,2026-05-28,addition,34,84+9,93
20260528_add,2026-05-28,addition,35,83+3,86
20260528_add,2026-05-28,addition,36,15+84,99
20260528_add,2026-05-28,addition,37,18+56,74
20260528_add,2026-05-28,addition,38,27+44,71
20260528_add,2026-05-28,addition,39,38+49,87
20260528_add,2026-05-28,addition,40,6+32,38
20260528_add,2026-05-28,addition,41,48+40,88
20260528_add,2026-05-28,addition,42,88+3,91
20260528_add,2026-05-28,addition,43,28+66,94
20260528_add,2026-05-28,addition,44,95+1,96
20260528_add,2026-05-28,addition,45,20+17,37
20260528_add,2026-05-28,addition,46,90+3,93
20260528_add,2026-05-28,addition,47,15+62,77
20260528_add,2026-05-28,addition,48,96+1,97
20260528_add,2026-05-28,addition,49,42+21,63
20260528_add,2026-05-28,addition,50,4+46,50
20260529_mix,2026-05-29,mixed,1,23-10,13
20260529_mix,2026-05-29,mixed,2,36+30,66
20260529_mix,2026-05-29,mixed,3,67-39,28
20260529_mix,2026-05-29,mixed,4,30-7,23
20260529_mix,2026-05-29,mixed,5,63-17,46
20260529_mix_2,2026-05-29,mixed,1,16+81,97
20260529_mix_2,2026-05-29,mixed,2,39-21,18
20260529_mix_2,2026-05-29,mixed,3,58-51,7
20260529_mix_2,2026-05-29,mixed,4,13+13,26
20260529_add,2026-05-29,addition,1,17+72,89
20260529_add,2026-05-29,addition,2,97+0,97
20260529_add,2026-05-29,addition,3,32+15,47
20260529_add,2026-05-29,addition,4,63+28,91
20260529_add,2026-05-29,addition,5,60+24,84
20260624_add,2026-06-24,addition,1,17+72,89
20260624_add,2026-06-24,addition,2,97+0,97
20260624_add,2026-06-24,addition,3,32+15,47
20260624_add,2026-06-24,addition,4,63+28,91
20260624_add,2026-06-24,addition,5,60+24,84
20260624_add_2,2026-06-24,addition,1,17+72,89
20260624_add_2,2026-06-24,addition,2,97+0,97
20260624_add_2,2026-06-24,addition,3,32+15,47
20260624_add_2,2026-06-24,addition,4,63+28,91
20260624_add_2,2026-06-24,addition,5,60+24,84
20260624_mix,2026-06-24,mixed,1,52-47,5
20260624_mix,2026-06-24,mixed,2,82+2,84
20260624_mix,2026-06-24,mixed,3,19+5,24
20260624_mix,2026-06-24,mixed,4,28-18,10
20260624_mix,2026-06-24,mixed,5,30+59,89
